x	y	new_x	new_y	pixel_x	pixel_y
11	9	10.961	8.92	149.309555172763	119.478771912048
12	9	12.081	8.991	166.17043266795	120.568243996352
13	9	13.033	8.985	180.541088256156	120.464484750228
14	9	14.011	8.977	195.274901205796	120.360725504104
15	9	14.966	8.977	209.645556794001	120.360725504104
16	9	16.004	9.017	225.31320295876	120.931401357787
17	9	16.953	8.964	239.631978923903	120.153207011855
18	9	17.972	8.932	254.988347350289	119.686290404296
19	9	18.977	8.919	270.137197284426	119.478771912048
20	9	19.985	8.99	285.337926841625	120.51636437329
21	9	20.93	8.947	299.604823183707	119.893808896545
22	9	21.984	8.907	315.479987840713	119.271253419799
23	9	23.09	8.968	332.185226466714	120.205086634917
24	9	24.072	8.972	346.970919039416	120.25696625798
25	9	25.036	8.937	361.54909311987	119.738170027358
6	10	5.908	9.955	73.0983888945182	135.094538453744
7	10	6.957	9.944	88.9216739284629	134.938899584558
8	10	8.035	9.964	105.159995946904	135.25017732293
9	10	9.025	9.936	120.101327388793	134.783260715371
10	10	9.936	9.951	133.849427500253	135.042658830682
11	10	10.961	9.915	149.309555172763	134.471982976999
12	10	12.078	9.967	166.118553044888	135.25017732293
13	10	13.041	9.979	180.64484750228	135.457695815179
14	10	13.992	9.962	194.963623467423	135.198297699868
15	10	14.982	9.94	209.904954909312	134.835140338433
16	10	16.012	9.929	225.416962204884	134.679501469247
17	10	16.942	9.918	239.476340054717	134.523862600061
18	10	17.963	9.931	254.884588104165	134.731381092309
19	10	18.992	9.92	270.396595399737	134.575742223123
20	10	20.062	9.891	286.531158172054	134.108825615564
21	10	20.976	9.918	300.279258283514	134.523862600061
22	10	21.985	9.858	315.531867463775	133.641909008005
23	10	23.102	9.961	332.3408653359	135.198297699868
24	10	24.062	9.935	346.81528017023	134.783260715371
25	10	25.015	9.947	361.185935758436	134.938899584558
26	10	25.991	9.932	375.919748708076	134.731381092309
27	10	27.013	9.905	391.327996757524	134.316344107812
28	10	27.968	9.928	405.750531968791	134.679501469247
29	10	29.023	9.911	421.625696625798	134.420103353937
31	10	31.069	9.886	452.494072347756	134.056945992502
6	11	5.901	10.921	72.994629648394	149.672712534198
7	11	6.939	10.923	88.6622758131523	149.672712534198
8	11	7.948	10.924	103.863005370352	149.672712534198
9	11	9.029	10.923	120.153207011855	149.672712534198
10	11	9.946	10.958	134.00506636944	150.191508764819
11	11	10.971	10.886	149.413314418887	149.102036680515
12	11	12.067	10.987	165.962914175702	150.658425372378
13	11	13.015	10.979	180.229810517783	150.502786503192
14	11	14.006	10.969	195.171141959672	150.347147634005
15	11	14.972	10.959	209.749316040126	150.243388387881
16	11	15.999	10.915	225.261323335698	149.568953288074
17	11	16.968	10.934	239.839497416152	149.828351403384
18	11	17.982	10.928	255.143986219475	149.776471780322
19	11	19.004	10.94	270.552234268923	149.932110649509
20	11	20.055	10.912	286.42739892593	149.517073665012
21	11	20.961	10.89	300.071739791266	149.205795926639
22	11	21.968	10.881	315.272469348465	149.050157057453
23	11	23.107	10.962	332.444624582025	150.243388387881
24	11	24.066	10.953	346.867159793292	150.139629141757
25	11	25.059	10.928	361.860370858243	149.776471780322
26	11	25.996	10.93	376.0235079542	149.776471780322
27	11	27.015	10.885	391.379876380586	149.102036680515
28	11	27.971	10.906	405.802411591853	149.413314418887
29	11	29.035	10.891	421.833215118046	149.205795926639
30	11	30.019	10.918	436.670787313811	149.620832911136
31	11	31.079	10.873	452.649711216942	148.946397811328
32	11	31.998	10.88	466.501570574526	149.050157057453
6	12	5.932	11.933	73.461546255953	164.925321714459
7	12	6.948	11.952	88.7660350592765	165.18471982977
8	12	7.95	11.927	103.863005370352	164.821562468335
9	12	9.038	11.907	120.25696625798	164.510284729963
10	12	9.938	11.919	133.849427500253	164.717803222211
11	12	10.946	11.912	149.050157057453	164.614043976087
12	12	12.051	11.959	165.703516060391	165.288479075894
13	12	13.056	11.972	180.852365994528	165.495997568143
14	12	14.005	11.949	195.171141959672	165.18471982977
15	12	14.967	11.953	209.697436417064	165.236599452832
16	12	16.002	11.912	225.31320295876	164.562164353025
17	12	16.976	11.913	239.995136285338	164.614043976087
18	12	17.963	11.901	254.832708481102	164.406525483838
19	12	19.022	11.933	270.811632384233	164.925321714459
20	12	20.049	11.91	286.323639679805	164.562164353025
21	12	20.977	11.912	300.331137906576	164.614043976087
22	12	21.994	11.881	315.6356267099	164.147127368528
23	12	23.083	11.964	332.08146722059	165.392238322018
24	12	24.073	11.94	347.022798662478	165.029080960584
25	12	25.036	11.912	361.497213496808	164.614043976087
26	12	25.98	11.909	375.764109838889	164.562164353025
27	12	27.016	11.883	391.379876380586	164.147127368528
28	12	27.992	11.902	406.061809707164	164.4584051069
29	12	29.005	11.901	421.366298510487	164.406525483838
30	12	30.013	11.905	436.567028067687	164.510284729963
31	12	31.079	11.867	452.649711216942	163.939608876279
32	12	32.016	11.879	466.760968689837	164.095247745466
6	13	5.949	12.925	73.7209443712636	179.866653156348
7	13	6.956	12.957	88.8697943054007	180.333569763907
8	13	7.967	12.927	104.122403485662	179.91853277941
9	13	9.019	12.92	119.997568142669	179.814773533286
10	13	9.947	12.915	134.00506636944	179.711014287162
11	13	10.988	12.879	149.672712534198	179.192218056541
12	13	12.075	12.963	166.066673421826	180.437329010031
13	13	13.044	12.965	180.696727125342	180.489208633094
14	13	14.014	12.943	195.326780828858	180.126051271659
15	13	14.969	12.923	209.697436417064	179.866653156348
16	13	16.014	12.903	225.468841827946	179.555375417975
17	13	16.977	12.92	239.995136285338	179.814773533286
18	13	17.959	12.925	254.78082885804	179.866653156348
19	13	18.996	12.918	270.448475022799	179.762893910224
20	13	20.08	12.893	286.790556287364	179.399736548789
21	13	20.962	12.9	300.071739791266	179.503495794913
22	13	21.957	12.861	315.064950856216	178.880940318168
23	13	23.093	12.942	332.237106089776	180.126051271659
24	13	24.049	12.935	346.659641301044	180.022292025535
25	13	25.035	12.91	361.497213496808	179.6591346641
26	13	25.999	12.91	376.0235079542	179.6591346641
27	13	27.026	12.901	391.535515249772	179.503495794913
28	13	27.985	12.904	406.009930084102	179.555375417975
29	13	29.014	12.868	421.521937379674	178.984699564292
30	13	30.01	12.868	436.515148444625	178.984699564292
31	13	31.062	12.88	452.390313101631	179.192218056541
5	14	4.987	13.934	59.1946499138717	195.067382713547
6	14	5.937	13.93	73.5134258790151	195.015503090485
7	14	6.948	13.944	88.7660350592765	195.223021582734
8	14	7.948	13.926	103.863005370352	194.963623467423
9	14	9.025	13.904	120.101327388793	194.652345729051
10	14	9.937	13.932	133.849427500253	195.067382713547
11	14	10.991	13.914	149.72459215726	194.807984598237
12	14	12.062	13.954	165.859154929577	195.37866045192
